"Date","Symbol","Open","High","Low","Close","VolumeUSDT","CloseLag1Hour","CloseLag12Hour","CloseLag24Hour","CloseLag3Day","CloseLag7Day","CloseLag14Day","CloseLag30Day","CloseLag90Day","CloseLag120Day","Volatility","Target24HourClose","DateTime"
2020-01-01,"ETH",128.87,130.65,128.78,130.64,1446167.84,131.59,131.53,131.89,127.6,126.21,124.46,151.03,179.04,177.06,1.45208883366983,130.15,"2020-01-01 01:00:00"
2020-01-01,"ETH",130.64,130.98,130.35,130.85,980578.65,130.64,131.69,131.55,128.07,125.79,124.75,150.93,179.51,177.59,0.483314154200227,129.72,"2020-01-01 02:00:00"
2020-01-01,"ETH",130.85,130.89,129.94,130.2,611279.53,130.85,129.73,131.26,127.94,125.74,123.9,150.04,179.05,178.5,0.731106664614429,129.1,"2020-01-01 03:00:00"
2020-01-01,"ETH",130.2,130.74,130.15,130.2,436380.94,130.2,130.07,131.4,127.95,126.25,123.73,150.38,178.99,178.79,0.45332308874376,129.55,"2020-01-01 04:00:00"
2020-01-01,"ETH",130.2,130.47,130.11,130.3,546887.93,130.2,129.32,132.7,128.14,125.85,123.23,148.03,177.79,178.28,0.276688955499182,129.63,"2020-01-01 05:00:00"
2020-01-01,"ETH",130.3,130.75,130.26,130.44,474846.74,130.3,129.42,132.27,128.6,125.22,121.88,148.26,177.36,177.73,0.37617073545218,129.42,"2020-01-01 06:00:00"
2020-01-01,"ETH",130.44,130.71,130.14,130.24,536082.69,130.44,128.49,132.2,128.43,125.66,121.69,148.37,177.23,177.63,0.437989857077011,129.26,"2020-01-01 07:00:00"
2020-01-01,"ETH",130.24,130.41,129.87,130.36,955260.69,130.24,128.39,131.78,128.65,125.88,121.66,148.01,177.85,177.73,0.41580041580041,130.21,"2020-01-01 08:00:00"
2020-01-01,"ETH",130.36,130.62,130.13,130.17,580140.78,130.36,128.91,131.7,128.08,125.44,122.06,149.27,177.68,175.66,0.376546530392691,129.98,"2020-01-01 09:00:00"
2020-01-01,"ETH",130.17,130.82,130.07,130.7,577169.99,130.17,129.05,131.77,128.25,124.67,123.49,149,175.76,176.24,0.576612593219036,129.72,"2020-01-01 10:00:00"
2020-01-01,"ETH",130.7,131.87,130.6,130.74,1353490.96,130.7,129.16,131.92,129.39,124.38,121.67,148.92,176.24,177.07,0.972434915773362,129.53,"2020-01-01 11:00:00"
2020-01-01,"ETH",129.16,129.19,128.68,128.87,989909.24,130.74,131.59,131.52,127.93,126.91,124.41,150.38,179.25,178.2,0.396331986322654,130.67,"2020-01-01 12:00:00"
2020-01-01,"ETH",131.61,131.9,131.28,131.68,910358.23,128.87,130.64,131.53,130.93,124.36,122.26,149.44,176.02,178.49,0.472273004265695,129.35,"2020-01-01 13:00:00"
2020-01-01,"ETH",131.68,132.37,131.24,131.96,939658.93,131.68,130.85,131.69,130.95,124.29,123.34,147.99,172.2,180.96,0.861017982322459,129.37,"2020-01-01 14:00:00"
2020-01-01,"ETH",131.96,132.4,131.6,132.08,694662.1,131.96,130.2,129.73,131.99,124.42,127.32,148.43,171.8,181.26,0.607902735562319,129.59,"2020-01-01 15:00:00"
2020-01-01,"ETH",132.08,132.95,131.78,132.85,870249.53,132.08,130.2,130.07,132.9,124.15,128.47,147.75,173.66,180.5,0.887843375322498,127.6,"2020-01-01 16:00:00"
2020-01-01,"ETH",132.85,133.05,132.27,132.34,650257.67,132.85,130.3,129.32,133.43,124.51,127.17,147.59,173.01,179.19,0.589702880471763,127.4,"2020-01-01 17:00:00"
2020-01-01,"ETH",132.34,132.46,131.57,132.04,714182.66,132.34,130.44,129.42,133.79,124.81,127.27,147.2,172.52,179.78,0.676445998327898,127.49,"2020-01-01 18:00:00"
2020-01-01,"ETH",132.04,132.16,131.62,131.86,273651.81,132.04,130.24,128.49,134.85,125.43,128.74,147.52,172.26,180.34,0.410271995137511,127.62,"2020-01-01 19:00:00"
2020-01-01,"ETH",131.86,132.25,131.7,132.18,263829.94,131.86,130.36,128.39,135.14,125.66,129.65,148.06,172.74,180.87,0.417615793470016,127.16,"2020-01-01 20:00:00"
2020-01-01,"ETH",132.18,132.37,131.68,131.78,631701.18,132.18,130.17,128.91,134.87,125.37,130.34,148.46,173.94,180.32,0.523997569866341,127.72,"2020-01-01 21:00:00"
2020-01-01,"ETH",131.78,131.82,129.9,130.27,1849036.91,131.78,130.7,129.05,135.03,125.36,133.84,149.14,175.02,180.95,1.47806004618937,127.39,"2020-01-01 22:00:00"
2020-01-01,"ETH",130.27,130.87,129.74,130.77,493054.4,130.27,130.74,129.16,134.36,125.09,132.78,148.65,174.69,178.75,0.870972714660086,127.19,"2020-01-01 23:00:00"
2020-01-01,"ETH",130.74,131.61,130.7,131.61,536273.38,130.77,128.87,131.59,131.04,124.64,120.61,149.07,176.17,178.68,0.696250956388696,129.96,"2020-01-02 00:00:00"
