"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"11433744",NA,"parcel","1607717976","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","16900000000000000000000","cancelled","0x080de175a2f43b416c23b8253d47cd053da48899d179c8d5c1c9c18386d2ccaf",16900,"https://api.decentraland.org/v1/parcels/25/-33/map.png","0xcce33bbaa621a72164c80125fd35f8566390c61b","0","25","-33",NA,"2020-12-27 23:50:26",2020-12-27
"11433278",NA,"parcel","1607712080","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","14000000000000000000000","cancelled","0x097e543d0bc38f06806a92b8b1744f466313680fa4764e99733896cc7a682b8e",14000,"https://api.decentraland.org/v1/parcels/-68/42/map.png","0xd9ac25175f3796c0bc357a8b42e9c63928b3d1f2","0","-68","42",NA,"2020-12-27 23:50:26",2020-12-27
"11442523","0x73deaeb8aa241b6fcdb992060ae43193cccbf638","estate","1607707997","0x959e104e1a4db6317fa58f8295f586e1a978c297","139500000000000000000000","sold","0x0b1091e6d4ab7525ca4b087e425423a2377b0446575c1dd4f363ea32a088a18d",139500,"https://api.decentraland.org/v1/estates/2747/map.png","0x73deaeb8aa241b6fcdb992060ae43193cccbf638","0",NA,NA,13,"2020-12-27 23:50:26",2020-12-27
"11432878",NA,"wearable","1607706716","0x34ed0aa248f60f54dd32fbc9883d6137a491f4f3","3500000000000000000000","open","0x542447b3c8ff2c64f2bc83b89b0ff971ac6f5f5490094106cb710718fa24e479",3500,"https://wearable-api.decentraland.org/v2/collections/wonderzone_meteorchaser/wearables/meteorchaser_shoes_feet/thumbnail","0x3e0998e9fcbd992d36239d5c5ad182d2b5cfb00b","0",NA,NA,NA,"2020-12-27 23:50:26",2020-12-27
"11432818",NA,"parcel","1607705900","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","35000000000000000000000","open","0xdf68f55fb1b3b54c35732d9163d32b6426c2d0653e48736ecabbf39a602ca203",35000,"https://api.decentraland.org/v1/parcels/-131/32/map.png","0x268c998d7b928e2191890f93c5066a31aee94ff2","0","-131","32",NA,"2020-12-27 23:50:26",2020-12-27
"11432817",NA,"estate","1607705893","0x959e104e1a4db6317fa58f8295f586e1a978c297","55000000000000000000000","open","0xc3591449dd527ca5261142cf51b278a05d25450012f2d3a8ffca63887c0b7076",55000,"https://api.decentraland.org/v1/estates/3743/map.png","0x268c998d7b928e2191890f93c5066a31aee94ff2","0",NA,NA,4,"2020-12-27 23:50:26",2020-12-27
"11432763",NA,"parcel","1607705158","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","32000000000000000000000","open","0x3cc6bda6bdf8f0b867b0a0bec8d1cc5e352619c67fddf5245f7904179e02d271",32000,"https://api.decentraland.org/v1/parcels/-37/-52/map.png","0xe245503f8a33ebddd718915132869c9ba9df37a8","0","-37","-52",NA,"2020-12-27 23:50:26",2020-12-27
"11432753",NA,"parcel","1607704973","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","32000000000000000000000","open","0xdc9af9de2afddf07125f804ab264ad72b53d7b275d9a84029595549605aecf88",32000,"https://api.decentraland.org/v1/parcels/-38/-52/map.png","0xe245503f8a33ebddd718915132869c9ba9df37a8","0","-38","-52",NA,"2020-12-27 23:50:26",2020-12-27
"11432751",NA,"parcel","1607704946","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","32000000000000000000000","open","0xef51dfc1dac85be2bce16f54abb9a4b36e0a474c7b00963af3922e84d01429b6",32000,"https://api.decentraland.org/v1/parcels/-49/28/map.png","0xe245503f8a33ebddd718915132869c9ba9df37a8","0","-49","28",NA,"2020-12-27 23:50:26",2020-12-27
"11432749",NA,"parcel","1607704922","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","32000000000000000000000","open","0xe09cc158180ef3557a2ccc15c4452c02d4144ff80063b930c3f353c7bf5b16c8",32000,"https://api.decentraland.org/v1/parcels/22/-53/map.png","0xe245503f8a33ebddd718915132869c9ba9df37a8","0","22","-53",NA,"2020-12-27 23:50:26",2020-12-27
