"symbol","model","eval_set","rmse","rsq","last_refreshed"
"BCD","pcr","holdout",4.59592515209255,0.0429314443691829,"2021-01-31 03:21:50"
"BCD","pcr","test",4.31497328421762,0.108825056088032,"2021-01-31 03:21:50"
"BCD","rf","holdout",7.28089065934106,0.215949834592676,"2021-01-31 03:21:50"
"BCD","rf","test",4.1998801082821,0.120663552940464,"2021-01-31 03:21:50"
"BCD","xgb","holdout",7.86726018234635,0.00286585054427289,"2021-01-31 03:21:50"
"BCD","xgb","test",5.55332358576614,0.00363320075616123,"2021-01-31 03:21:50"
"BCHA","lm","holdout",3.62150170167608,0.0549741662309318,"2021-01-31 03:21:50"
"BCHA","lm","test",2.6304677112069,0.103208994589607,"2021-01-31 03:21:50"
"BCHA","nnet","holdout",3.58512896813684,0.000231305468052508,"2021-01-31 03:21:50"
"BCHA","nnet","test",4.41495589702928,0.122556663621091,"2021-01-31 03:21:50"
"BCHA","pcr","holdout",3.46504429654094,0.0507532825313085,"2021-01-31 03:21:50"
"BCHA","pcr","test",2.3681656267287,0.120020865645631,"2021-01-31 03:21:50"
"BCHA","rf","holdout",5.46151983794397,0.0253363820917336,"2021-01-31 03:21:50"
"BCHA","rf","test",3.1365349517321,0.00740732356837291,"2021-01-31 03:21:50"
"BCHA","xgb","holdout",6.66694579592129,0.0318749343193679,"2021-01-31 03:21:50"
"BCHA","xgb","test",3.35476038500707,0.0646133167749531,"2021-01-31 03:21:50"
"BNT","lm","holdout",0.960180540994635,0.584902791497919,"2021-01-31 03:21:50"
"BNT","lm","test",38.015948040195,0.571436527750042,"2021-01-31 03:21:50"
"BNT","nnet","holdout",2.40507720153265,0.0491708213452136,"2021-01-31 03:21:50"
"BNT","nnet","test",2.83332351572969,0.257032273996936,"2021-01-31 03:21:50"
"BNT","pcr","holdout",1.46941183255244,0.0334740931357134,"2021-01-31 03:21:50"
"BNT","pcr","test",1.41809523595842,0.386717575293393,"2021-01-31 03:21:50"
"BNT","rf","holdout",2.96675616561733,0.000962664277748453,"2021-01-31 03:21:50"
"BNT","rf","test",2.7246141475775,0.117118436111091,"2021-01-31 03:21:50"
"BNT","xgb","holdout",2.8097727690985,0.0209659559842831,"2021-01-31 03:21:50"
"BNT","xgb","test",3.69375638166251,0.0882607487763382,"2021-01-31 03:21:50"
"BRD","lm","holdout",5.44087701331063,0.436319159146766,"2021-01-31 03:21:50"
"BRD","lm","test",7.90398430493962,0.206879343028146,"2021-01-31 03:21:50"
"BRD","nnet","holdout",6.42542119248174,0.00466945736892594,"2021-01-31 03:21:50"
"BRD","nnet","test",7.69115875083968,0.086334721594033,"2021-01-31 03:21:50"
"BRD","pcr","holdout",5.95597388846812,0.191460064727108,"2021-01-31 03:21:50"
"BRD","pcr","test",7.31779468641836,0.194966415002344,"2021-01-31 03:21:50"
"BRD","rf","holdout",6.29497894373174,0.0827013373620195,"2021-01-31 03:21:50"
"BRD","rf","test",9.84615121920702,0.0550219444293786,"2021-01-31 03:21:50"
"BRD","xgb","holdout",9.70915819115977,0.00364793962232582,"2021-01-31 03:21:50"
"BRD","xgb","test",11.4694566892726,0.0206443969316406,"2021-01-31 03:21:50"
"BSV","lm","holdout",1.33835298121272,0.497637738130388,"2021-01-31 03:21:50"
"BSV","lm","test",1.6830183997898,0.621629208793569,"2021-01-31 03:21:50"
"BSV","nnet","holdout",2.11446600262387,0.00704941845783421,"2021-01-31 03:21:50"
"BSV","nnet","test",2.07311476217925,0.0966705261552855,"2021-01-31 03:21:50"
"BSV","pcr","holdout",1.90038267252828,0.0309251044088157,"2021-01-31 03:21:50"
"BSV","pcr","test",1.87704336455216,0.242246215205225,"2021-01-31 03:21:50"
"BSV","rf","holdout",3.88623310633561,0.238211197811233,"2021-01-31 03:21:50"
"BSV","rf","test",3.89394994214449,0.102126559825757,"2021-01-31 03:21:50"
"BSV","xgb","holdout",3.58583433705917,0.412602435191211,"2021-01-31 03:21:50"
"BSV","xgb","test",3.3698297312363,0.0298274690438606,"2021-01-31 03:21:50"
"BTC","lm","holdout",1.05138875908501,0.753201849143614,"2021-01-31 03:21:50"
"BTC","lm","test",0.838776585378828,0.802009245735851,"2021-01-31 03:21:50"
"BTC","nnet","holdout",1.83852205334393,0.102156405931102,"2021-01-31 03:21:50"
"BTC","nnet","test",2.55562384781497,0.178118189788269,"2021-01-31 03:21:50"
"BTC","pcr","holdout",1.65798635074617,0.207023216186844,"2021-01-31 03:21:50"
"BTC","pcr","test",1.1334066546006,0.363270830199959,"2021-01-31 03:21:50"
"BTC","rf","holdout",2.55082193210107,0.184166308379365,"2021-01-31 03:21:50"
"BTC","rf","test",1.64511878542273,0.0838329270067681,"2021-01-31 03:21:50"
"BTC","xgb","holdout",3.37709388496253,0.000352480898835364,"2021-01-31 03:21:50"
"BTC","xgb","test",2.13683922432795,0.0961395010527488,"2021-01-31 03:21:50"
"BTG","lm","holdout",1.42683242848634,0.577093211247496,"2021-01-31 03:21:50"
"BTG","lm","test",1.69036349043129,0.712257895651173,"2021-01-31 03:21:50"
"BTG","nnet","holdout",2.8831891929635,0.00221123367109486,"2021-01-31 03:21:50"
"BTG","nnet","test",2.66031910113039,0.266942132785072,"2021-01-31 03:21:50"
"BTG","pcr","holdout",1.99403461768853,0.072625290431562,"2021-01-31 03:21:50"
"BTG","pcr","test",2.01327911364837,0.435543181184719,"2021-01-31 03:21:50"
"BTG","rf","holdout",2.56317029267576,0.218990535858711,"2021-01-31 03:21:50"
"BTG","rf","test",2.50025344344442,0.237256911013237,"2021-01-31 03:21:50"
"BTG","xgb","holdout",2.86027148747256,0.130376436798976,"2021-01-31 03:21:50"
"BTG","xgb","test",2.79743085023995,0.121456687891936,"2021-01-31 03:21:50"
"BTM","lm","holdout",2.06492919477745,0.146691466724701,"2021-01-31 03:21:50"
"BTM","lm","test",0.90468049331306,0.674699946906696,"2021-01-31 03:21:50"
"BTM","nnet","holdout",1.37031724866517,0.214413183591468,"2021-01-31 03:21:50"
"BTM","nnet","test",1.90679358416843,0.151100679922066,"2021-01-31 03:21:50"
"BTM","pcr","holdout",1.39144564002285,0.171753359200344,"2021-01-31 03:21:50"
"BTM","pcr","test",1.37035157971746,0.167382591671426,"2021-01-31 03:21:50"
"BTM","rf","holdout",4.19612186934408,0.236483828573684,"2021-01-31 03:21:50"
"BTM","rf","test",3.37940365614334,0.0905454804827796,"2021-01-31 03:21:50"
"BTM","xgb","holdout",5.48844949039853,0.029529442093988,"2021-01-31 03:21:50"
"BTM","xgb","test",4.07100795540195,0.0767299299975995,"2021-01-31 03:21:50"
"CCE","lm","holdout",3.34075523749407,0.11203539127633,"2021-01-31 03:21:50"
"CCE","lm","test",8.75852808389908,0.220713886309025,"2021-01-31 03:21:50"
"CCE","nnet","holdout",8.86812095967887,0.0376037934451518,"2021-01-31 03:21:50"
"CCE","nnet","test",9.11388283579339,0.3271030083971,"2021-01-31 03:21:50"
"CCE","pcr","holdout",2.878221755664,0.0371516788394093,"2021-01-31 03:21:50"
"CCE","pcr","test",3.22696117767021,0.351105264913204,"2021-01-31 03:21:50"
"CCE","rf","holdout",3.20374005289753,0.0241071996575776,"2021-01-31 03:21:50"
"CCE","rf","test",6.7889805673545,0.222916221007458,"2021-01-31 03:21:50"
"CCE","xgb","holdout",3.00518951732192,0.00527419354245981,"2021-01-31 03:21:50"
"CCE","xgb","test",8.3706820689874,0.0557125590552705,"2021-01-31 03:21:50"
"CHZ","lm","holdout",1.2690070416305,0.499432542224116,"2021-01-31 03:21:50"
"CHZ","lm","test",1.22679539780894,0.457012747249496,"2021-01-31 03:21:50"
"CHZ","nnet","holdout",1.62899557799869,0.0438780577380439,"2021-01-31 03:21:50"
"CHZ","nnet","test",1.51781743629273,0.209299305944706,"2021-01-31 03:21:50"
"CHZ","pcr","holdout",1.63913241093449,0.0322969261174956,"2021-01-31 03:21:50"
"CHZ","pcr","test",1.3206830111106,0.387332770873671,"2021-01-31 03:21:50"
"CHZ","rf","holdout",2.4486482965706,0.198891983794819,"2021-01-31 03:21:50"
"CHZ","rf","test",1.85617115581672,0.130185282026449,"2021-01-31 03:21:50"
"CHZ","xgb","holdout",3.25802450909322,0.0000703016490415333,"2021-01-31 03:21:50"
"CHZ","xgb","test",1.66518483830174,0.192894208979409,"2021-01-31 03:21:50"
"CRO","lm","holdout",0.860221585052285,0.73239029646449,"2021-01-31 03:21:50"
"CRO","lm","test",0.714462311093585,0.760234844164927,"2021-01-31 03:21:50"
"CRO","nnet","holdout",2.03636922378608,0.0769061626348987,"2021-01-31 03:21:50"
"CRO","nnet","test",2.14414246109575,0.210794373686824,"2021-01-31 03:21:50"
"CRO","pcr","holdout",1.420055872094,0.188745251664439,"2021-01-31 03:21:50"
"CRO","pcr","test",1.09919885481123,0.398764670596231,"2021-01-31 03:21:50"
"CRO","rf","holdout",1.5022569178806,0.251173789695338,"2021-01-31 03:21:50"
"CRO","rf","test",2.19855643560089,0.0552271618009396,"2021-01-31 03:21:50"
"CRO","xgb","holdout",2.7588325179681,0.00209165867181683,"2021-01-31 03:21:50"
"CRO","xgb","test",2.55460743131755,0.0537354680522191,"2021-01-31 03:21:50"
"CRPT","lm","holdout",1.3463529401442,0.611726254355156,"2021-01-31 03:21:50"
"CRPT","lm","test",3.26029220975823,0.16737733647318,"2021-01-31 03:21:50"
"CRPT","nnet","holdout",1.97655789231085,0.522302231953407,"2021-01-31 03:21:50"
"CRPT","nnet","test",4.16330630936502,0.148322944138869,"2021-01-31 03:21:50"
"CRPT","pcr","holdout",1.59125081813496,0.475603293218535,"2021-01-31 03:21:50"
"CRPT","pcr","test",2.67931254802621,0.258833286970108,"2021-01-31 03:21:50"
"CRPT","rf","holdout",1.87433233437788,0.120540496171458,"2021-01-31 03:21:50"
"CRPT","rf","test",3.09590263530339,0.103142312521133,"2021-01-31 03:21:50"
"CRPT","xgb","holdout",2.40272845265721,0.0253208564004384,"2021-01-31 03:21:50"
"CRPT","xgb","test",4.66881237332827,0.0407678008043442,"2021-01-31 03:21:50"
"CRV","lm","holdout",1.10312734370568,0.928123392263044,"2021-01-31 03:21:50"
"CRV","lm","test",4.59946952166956,0.325286893399499,"2021-01-31 03:21:50"
"CRV","nnet","holdout",5.25435760158141,0.284465691062598,"2021-01-31 03:21:50"
"CRV","nnet","test",4.03514547710086,0.266534259474361,"2021-01-31 03:21:50"
"CRV","pcr","holdout",2.79522499533553,0.535181511749958,"2021-01-31 03:21:50"
"CRV","pcr","test",3.09686456630669,0.348954820862698,"2021-01-31 03:21:50"
"CRV","rf","holdout",3.74111338336006,0.145924773918186,"2021-01-31 03:21:50"
"CRV","rf","test",3.95824739675192,0.174642882106968,"2021-01-31 03:21:50"
"CRV","xgb","holdout",4.0303696627776,0.0581498884761448,"2021-01-31 03:21:50"
"CRV","xgb","test",7.98516559049741,0.0676554334983139,"2021-01-31 03:21:50"
"CUR","lm","holdout",3.07179565079245,0.867709007749621,"2021-01-31 03:21:50"
"CUR","lm","test",6.85942240591658,0.459022259557324,"2021-01-31 03:21:50"
"CUR","nnet","holdout",8.36772735616167,0.0320124404668608,"2021-01-31 03:21:50"
"CUR","nnet","test",9.03359734860034,0.164252652201419,"2021-01-31 03:21:50"
"CUR","pcr","holdout",8.43041586487956,0.00862246772645125,"2021-01-31 03:21:50"
"CUR","pcr","test",7.98097999427563,0.231653468269315,"2021-01-31 03:21:50"
"CUR","rf","holdout",8.63326929899926,0.599616011954514,"2021-01-31 03:21:50"
"CUR","rf","test",6.0861249600478,0.330164802072742,"2021-01-31 03:21:50"
"CUR","xgb","holdout",19.1869475131451,0.00691756844959395,"2021-01-31 03:21:50"
"CUR","xgb","test",10.1316299251657,0.155687063518758,"2021-01-31 03:21:50"
"CVC","lm","holdout",2.49223351406223,0.0292541019941613,"2021-01-31 03:21:50"
"CVC","lm","test",3.36154212699259,0.363975795368866,"2021-01-31 03:21:50"
"CVC","nnet","holdout",2.48561500829782,0.00657445303758682,"2021-01-31 03:21:50"
"CVC","nnet","test",2.96531538948753,0.297939406393875,"2021-01-31 03:21:50"
"CVC","pcr","holdout",2.44931071507995,0.00686428043162763,"2021-01-31 03:21:50"
"CVC","pcr","test",2.70495712654073,0.441618091491975,"2021-01-31 03:21:50"
"CVC","rf","holdout",3.06136280047046,0.0719305941561988,"2021-01-31 03:21:50"
"CVC","rf","test",3.54339261673899,0.247583793359845,"2021-01-31 03:21:50"
"CVC","xgb","holdout",3.95253307913416,0.0119486964735842,"2021-01-31 03:21:50"
"CVC","xgb","test",4.27213797664126,0.114765092311108,"2021-01-31 03:21:50"
"DCR","lm","holdout",2.12070991973981,0.0649203137211693,"2021-01-31 03:21:50"
"DCR","lm","test",1.78129299879342,0.582381730455688,"2021-01-31 03:21:50"
"DCR","nnet","holdout",2.55535430117863,0.0745157445179583,"2021-01-31 03:21:50"
"DCR","nnet","test",3.75876652065547,0.227921832545254,"2021-01-31 03:21:50"
"DCR","pcr","holdout",2.03355725063874,0.0334361622979166,"2021-01-31 03:21:50"
"DCR","pcr","test",2.11946302118367,0.468771637466875,"2021-01-31 03:21:50"
"DCR","rf","holdout",3.0625594077997,0.0685191575159445,"2021-01-31 03:21:50"
"DCR","rf","test",3.32188313664,0.151825624464272,"2021-01-31 03:21:50"
"DCR","xgb","holdout",5.29615557609142,0.0558020898371999,"2021-01-31 03:21:50"
"DCR","xgb","test",3.30334363628839,0.0643773336377387,"2021-01-31 03:21:50"
"DGB","lm","holdout",2.547693012623,0.458112326591875,"2021-01-31 03:21:50"
"DGB","lm","test",1.2924854415155,0.591351194554623,"2021-01-31 03:21:50"
"DGB","nnet","holdout",3.20988393738045,0.127203400224607,"2021-01-31 03:21:50"
"DGB","nnet","test",2.65621004555225,0.17957063507909,"2021-01-31 03:21:50"
"DGB","pcr","holdout",2.93176591524417,0.221456097499798,"2021-01-31 03:21:50"
"DGB","pcr","test",1.6866756186154,0.402048255223672,"2021-01-31 03:21:50"
"DGB","rf","holdout",3.56798201657078,0.0798988839392375,"2021-01-31 03:21:50"
"DGB","rf","test",2.89816915920682,0.129053728635634,"2021-01-31 03:21:50"
"DGB","xgb","holdout",3.64920690581773,0.0623359858398191,"2021-01-31 03:21:50"
"DGB","xgb","test",3.24532488644787,0.0397862034711252,"2021-01-31 03:21:50"
"DOT","lm","holdout",1.46812104640766,0.0448514389658341,"2021-01-31 03:21:50"
"DOT","lm","test",3.60212105990547,0.263279239408793,"2021-01-31 03:21:50"
"DOT","nnet","holdout",1.38348281342688,0.00405528758210328,"2021-01-31 03:21:50"
"DOT","nnet","test",3.83007105152231,0.302530926815185,"2021-01-31 03:21:50"
"DOT","pcr","holdout",1.37761866827758,0.00877434262169862,"2021-01-31 03:21:50"
"DOT","pcr","test",1.75275573558709,0.339354542621552,"2021-01-31 03:21:50"
"DOT","rf","holdout",3.74657333250246,0.000065846451392884,"2021-01-31 03:21:50"
"DOT","rf","test",1.77023345468465,0.264038996254619,"2021-01-31 03:21:50"
"DOT","xgb","holdout",4.69403805216748,0.000073726711690716,"2021-01-31 03:21:50"
