"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"Kambria",0.0005755,1.22,259.2,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:44","2020-04-21 18"
"W Green Pay",0.02885,14.63,88.05,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:45","2020-04-21 18"
"ODEM",0.034125,9.35,31.26,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:45","2020-04-21 18"
"W Green Pay",0.028865,14.59,180.8,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:50","2020-04-21 18"
"ODEM",0.03406,9.63,30.98,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:51","2020-04-21 18"
"ODEM",0.033045,16.07,181,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:52","2020-04-21 18"
"Origo",0.0094,6.38,141.5,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:53","2020-04-21 18"
"W Green Pay",0.02888,14.68,4.513,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:53","2020-04-21 18"
"Origo",0.009395,6.28,87.56,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:00","2020-04-21 18"
"ODEM",0.034005,10.26,51.67,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:00","2020-04-21 18"
"W Green Pay",0.02886,14.21,210.1,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:03","2020-04-21 18"
"Origo",0.009385,6.07,181,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:03","2020-04-21 18"
"ODEM",0.033855,9.42,58.94,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:04","2020-04-21 18"
"IRISnet",0.010239,7.35,322.2,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:02:19","2020-04-21 18"
"Bancor",0.1845,0.62,21391,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:37","2020-04-21 18"
"Revain",0.010367,2.2,19818,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:38","2020-04-21 18"
"Viberate",0.011161,2.63,18403,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:38","2020-04-21 18"
"Everex",0.14591,0.91,16614,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:40","2020-04-21 18"
"Crypterium",0.21979,2.44,14263,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"Nxt",0.009375,1.99,10754,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"Metaverse ETP",0.090912,1.46,10099,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"SwftCoin",0.001167,2.05,10010,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"AdEx",0.053919,14.23,8877,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:41","2020-04-21 18"
"PAX Gold",1699.47,8.3,7924,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Eidoo",0.11657,0.87,7586,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Bitcoin Diamond",0.50134,1.39,6927,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"SunContract",0.018451,6.29,6851,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Cocos-BCX",0.000262,14.39,5959,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:42","2020-04-21 18"
"Travala.com",0.10865,0.54,3929,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:43","2020-04-21 18"
"Insolar",0.8671,2.47,3882,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:43","2020-04-21 18"
"Emercoin",0.056438,16.14,3361,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:43","2020-04-21 18"
"Nexo",0.10933,19.39,2784,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:43","2020-04-21 18"
"UTRUST",0.0088834,0.3,2300,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:45","2020-04-21 18"
"Newscrypto",0.025164,0.33,2297,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:46","2020-04-21 18"
"Edgeless",0.0076145,12.38,2193,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:46","2020-04-21 18"
"HTMLCOIN",0.00003165,5.27,2140,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:46","2020-04-21 18"
"IOST",0.0030567,1.18,2135,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:46","2020-04-21 18"
"PumaPay",0.00011154,7.83,1593,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:46","2020-04-21 18"
"SmartCash",0.0021152,1.26,1418,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:47","2020-04-21 18"
"Ambrosus",0.0082779,2.45,1373,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:47","2020-04-21 18"
"WAX",0.026765,5.72,1218,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:47","2020-04-21 18"
"Bitcore",0.18664,12.46,1138,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:48","2020-04-21 18"
"Binance USD",0.97877,4.24,933.1,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:48","2020-04-21 18"
"DigitalNote",0.00018855,13.15,534.3,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:48","2020-04-21 18"
"GoByte",0.017547,6.24,419.4,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:48","2020-04-21 18"
"Dentacoin",0.00000492,3.04,371.8,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:49","2020-04-21 18"
"Substratum",0.0028185,8.56,271.8,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:49","2020-04-21 18"
"Bankera",0.0013796,4.04,333.3,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:51","2020-04-21 18"
"Dent",0.00011906,18.37,308.9,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:51","2020-04-21 18"
"PolySwarm",0.0011335,14.78,268.2,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:52","2020-04-21 18"
"Banca",0.0000365,19.1,256.3,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:52","2020-04-21 18"
"Electroneum",0.0022936,17.98,253.3,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:52","2020-04-21 18"
"Peercoin",0.19757,2.57,245,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:52","2020-04-21 18"
"Blackmoon",0.047465,14.54,234.4,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:53","2020-04-21 18"
"Pillar",0.013749,5.97,217.6,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:53","2020-04-21 18"
"HedgeTrade",1.8512,3.36,198.5,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:53","2020-04-21 18"
"V Systems",0.023088,0.5,175.5,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:53","2020-04-21 18"
"NAGA",0.012212,7.2,133.1,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:54","2020-04-21 18"
"Mithril",0.0031133,19.9,131.2,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:54","2020-04-21 18"
"DIMCOIN",0.00010114,3.26,128.9,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:54","2020-04-21 18"
"Horizen",5.6966,2.02,125.3,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:56","2020-04-21 18"
"Bytom",0.05518,1.66,91.32,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:56","2020-04-21 18"
"Callisto Network",0.00054286,14.15,85.18,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:56","2020-04-21 18"
"Stratis",0.28473,17.75,82.8,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:57","2020-04-21 18"
"Exchange Union",0.99493,15.35,79.08,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:57","2020-04-21 18"
"ZCoin",4.0963,1.92,60.57,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:57","2020-04-21 18"
"Gas",1.1056,15.48,56.87,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:57","2020-04-21 18"
"United Traders Token",0.1448,4.42,55.9,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:57","2020-04-21 18"
"Stox",0.0059694,16.12,47.19,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:58","2020-04-21 18"
"Storj",0.097453,15.08,29.7,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:58","2020-04-21 18"
"Ink",0.0010749,13.94,18.25,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:58","2020-04-21 18"
"IHT Real Estate Protocol",0.00067275,18.6,11.54,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:58","2020-04-21 18"
"Crowd Machine",0.00025005,7.96,10.49,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:58","2020-04-21 18"
"HBZ coin",0.0001955,15.86,7.332,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:59","2020-04-21 18"
"Consentium",0.000885,12.43,4.468,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:59","2020-04-21 18"
"",NA,NA,NA,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:01:59","2020-04-21 18"
"Stox",0.0059684,16.09,47.19,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:01","2020-04-21 18"
"FunFair",0.00176,1.5,70.4,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:02","2020-04-21 18"
"Stox",0.005968,16.08,49.13,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:03","2020-04-21 18"
"Stox",0.0059667,16.04,47.18,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:18","2020-04-21 18"
"Algorand",0.1883,10.2,377.8,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:02:22","2020-04-21 18"
"IRISnet",0.010241,7.4,286.7,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:02:31","2020-04-21 18"
"Algorand",0.17785,2.31,319.8,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:02:37","2020-04-21 18"
"Algorand",0.1882,10.1,381,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:02:50","2020-04-21 18"
"Boom",0.0012915,10.92,171.8,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:03:01","2020-04-21 18"
"IRISnet",0.010243,7.43,318.4,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:03:03","2020-04-21 18"
"BUMO",0.00325,9.23,74.82,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:03:20","2020-04-21 18"
"IRISnet",0.01024,7.39,321.2,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:03:28","2020-04-21 18"
"IRISnet",0.010242,7.42,322.1,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:03:40","2020-04-21 18"
"Bytom",0.05885,17.16,318.5,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:03:49","2020-04-21 18"
"Bytom",0.0587,16.7,344.4,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:03:58","2020-04-21 18"
"ODEM",0.03295,15.54,201.5,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:09","2020-04-21 18"
"W Green Pay",0.028855,14.17,33.78,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:09","2020-04-21 18"
"Origo",0.00938,5.97,180.4,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:14","2020-04-21 18"
"ODEM",0.033875,9.36,57.64,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:14","2020-04-21 18"
"W Green Pay",0.028845,14.11,33.76,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:14","2020-04-21 18"
"Origo",0.00937,5.76,234.3,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:19","2020-04-21 18"
"ODEM",0.03392,9.08,57.75,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:19","2020-04-21 18"
"W Green Pay",0.0289,14.46,33.86,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:19","2020-04-21 18"
"W Green Pay",0.02889,14.33,88.06,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:22","2020-04-21 18"
"ODEM",0.03386,9.27,50.41,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:22","2020-04-21 18"
"ODEM",0.033865,9.24,57.44,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:31","2020-04-21 18"
"W Green Pay",0.02891,14.46,4.515,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:31","2020-04-21 18"
"ODEM",0.033925,8.87,57.48,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:35","2020-04-21 18"
"W Green Pay",0.028915,14.42,97.32,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:38","2020-04-21 18"
"Origo",0.009355,5.45,131,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:50","2020-04-21 18"
"ODEM",0.03389,9.21,58.38,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:50","2020-04-21 18"
"Origo",0.009345,5.24,181.8,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:02:53","2020-04-21 18"
"ODEM",0.03292,15.37,200.9,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:00","2020-04-21 18"
"W Green Pay",0.02892,14.38,4.516,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:00","2020-04-21 18"
"ODEM",0.0339,9.14,58.08,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:03","2020-04-21 18"
"ODEM",0.033915,9.05,58.12,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:20","2020-04-21 18"
"ODEM",0.033885,9.24,53.11,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:23","2020-04-21 18"
"ODEM",0.033895,9.18,50.83,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:40","2020-04-21 18"
"ODEM",0.03387,9.33,53.36,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:47","2020-04-21 18"
"ODEM",0.03388,9.45,50.73,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:03:59","2020-04-21 18"
"Bytom",0.05865,16.54,388.1,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:04:04","2020-04-21 18"
"Bytom",0.05875,16.85,391.8,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:04:13","2020-04-21 18"
"FunFair",0.001756,1.5,70.24,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:53","2020-04-21 18"
"Electroneum",0.0022939,17.96,61,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:54","2020-04-21 18"
"Stox",0.0059637,15.94,49.26,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:54","2020-04-21 18"
"Mithril",0.0031134,19.9,19.65,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:02:55","2020-04-21 18"
"FunFair",0.001758,1.5,70.32,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:01","2020-04-21 18"
"Stox",0.0059631,15.92,42.27,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:02","2020-04-21 18"
"Stox",0.0059663,16.02,49.27,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:07","2020-04-21 18"
"Stox",0.0059658,16.01,49.21,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:15","2020-04-21 18"
"Mithril",0.003115,19.99,19.66,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:15","2020-04-21 18"
"Stox",0.0059654,16,49.12,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:19","2020-04-21 18"
"Stox",0.0059649,15.98,47.18,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:26","2020-04-21 18"
"Stox",0.0059644,15.96,47.18,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:30","2020-04-21 18"
"Stox",0.0059643,15.96,47.18,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:34","2020-04-21 18"
"Stox",0.0059633,15.93,47.17,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:45","2020-04-21 18"
"FunFair",0.001757,1.5,70.28,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:47","2020-04-21 18"
"Stox",0.0059622,15.9,47.17,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:55","2020-04-21 18"
"Stox",0.0059618,15.88,49.25,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:03:58","2020-04-21 18"
"Stox",0.0059614,15.87,40.12,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:04","2020-04-21 18"
"Boom",0.001325,15.85,104.5,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:04:16","2020-04-21 18"
"Dogecoin",0.0019565,4.45,396.4,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:04:18","2020-04-21 18"
"W Green Pay",0.028895,14.22,33.83,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:04:10","2020-04-21 18"
"Binance Coin",15.135,4.69,213.5,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:04:21","2020-04-21 18"
"Stox",0.0059611,15.86,49.25,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:09","2020-04-21 18"
"Stox",0.0059605,15.84,49.25,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:14","2020-04-21 18"
"Stox",0.0059601,15.83,42.26,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:19","2020-04-21 18"
"Stox",0.0059596,15.82,42.26,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:22","2020-04-21 18"
"Binance Coin",15.14,4.62,222.5,1912163,1489171,"BitMart","2020-04-21","2020-04-21 18:04:27","2020-04-21 18"
"Stox",0.0059594,15.81,47.16,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:28","2020-04-21 18"
"Electroneum",0.0022941,17.92,61.04,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:34","2020-04-21 18"
"FunFair",0.001759,1.5,70.36,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:37","2020-04-21 18"
"Stox",0.0059589,15.79,49.24,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:38","2020-04-21 18"
"FunFair",0.0017565,1.5,70.26,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:45","2020-04-21 18"
"Stox",0.0059582,15.77,47.16,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:46","2020-04-21 18"
"Bytom",0.0585,16.07,384.1,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:04:42","2020-04-21 18"
"Stox",0.0059578,15.76,49.24,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:50","2020-04-21 18"
"Stox",0.0059577,15.76,47.15,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:54","2020-04-21 18"
"Stox",0.0059572,15.74,47.15,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:59","2020-04-21 18"
"Mithril",0.0031146,19.97,19.66,32651348,37671808,"HitBTC","2020-04-21","2020-04-21 18:04:59","2020-04-21 18"
