"Name","Price","Spread","Depth","ExchangeBidDepth","ExchangeAskDepth","Exchange","Date","DateTime","pkDummy"
"EOS",2.518,0.21,1004445,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Ethereum Classic",5.1943,0.13,858930,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Bitcoin Cash",219.04,0.25,852720,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"NEO",7.2265,0.22,797615,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:16","2020-04-21 18"
"Litecoin",40.554,0.27,783982,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"XRP",0.18316,0.18,710302,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Ontology",0.39545,0.18,385757,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:17","2020-04-21 18"
"Bibox Token",0.07485,0.13,265719,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Hyperion",0.13055,0.23,235694,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Dash",74.406,1.8,117695,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:18","2020-04-21 18"
"Bitcoin SV",182.21,0.94,63798,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Crypto.com Coin",0.04815,1.87,30310,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"High Performance Blockchain",0.080164,1.38,5579,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:19","2020-04-21 18"
"Huobi Token",3.6943,4.12,3047,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Nuls",0.18502,2.11,2454,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Cosmos",2.2804,3.23,2434,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Chainlink",3.4562,2.4,2275,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Fusion",0.0995,8.04,1992,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"KEY",0.00065,15.38,1795,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Bytom",0.0554,5.78,1260,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Fantom",0.003,6.67,1009,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Qtum",1.3384,8.7,646.8,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:23","2020-04-21 18"
"Basic Attention Token",0.1611,3.35,539.5,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Cred",0.010011,17.75,517.2,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"MyToken",0.000688,3.49,516.9,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"PCHAIN",0.0030005,19.83,498.1,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Algorand",0.1889,10.8,404.1,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Augur",9.5906,2.58,391,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Dogecoin",0.0019555,4.65,385.9,4926310,4688430,"Bibox","2020-04-21","2020-04-21 18:01:26","2020-04-21 18"
"KuCoin Shares",0.90077,0.01,131751,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:20","2020-04-21 18"
"EOS",2.5177,0.01,96919,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:20","2020-04-21 18"
"TRON",0.01248,0.11,81397,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:20","2020-04-21 18"
"Cryptoindex.com 100",0.51524,0.5,65090,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:20","2020-04-21 18"
"Revain",0.01054,0.19,51848,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:21","2020-04-21 18"
"Dash",74.37,0.13,48046,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Cosmos",2.271,0.17,44688,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:22","2020-04-21 18"
"Cardano",0.034509,0.14,38669,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Ethereum Classic",5.1933,0.06,28635,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Chromia",0.017841,0.74,25813,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"Binance Coin",15.106,0.32,23587,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:24","2020-04-21 18"
"NEO",7.226,0.25,23098,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Terra",0.2054,0.19,14837,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
"Terra",0.2049,0.29,14336,3382023,2813670,"KuCoin","2020-04-21","2020-04-21 18:01:25","2020-04-21 18"
