"DateExtracted","DateTimeColoradoMST","Name","Rank","PriceUSD","PriceBTC","PercChange24hVsUSD","PercChange24hVsBTC","Reported_MarketCap","Reported24hVolume","VolumeTurnover24h","Reported_Supply","CurrentInflation","ATH_USD","PercDownFromATH","BreakevenMultiple","PercUpSinceLow","PercChange7d","PercChange7d_BTC","PercChange30d","PercChange30d_BTC","PercChange90d","PercChange90d_BTC","PercChange1y","PercChange1y_BTC","PercChange_MTD","PercChange_QTD","PercChange_YTD","NetworkPercStaking","FlipsideFCAS_Grade","FlipsideFCAS_Rating","FlipsideScore_Dev","FlipsideScore_Utility","FlipsideScore_Maturity","TokenInsight_Grade","TokenInsight_TeamScore","TokenInsight_SubjectScore","TxVol24h","AdjstedTxVol24h","MedianTxValueUSD","ActiveAddresses","Transactions24h","Fees24hUSD","MedianFeeUSD","AvgDifficulty","KilobytesAdded24h","NumBlocks24h","Git_Stars","Git_Watchers","Git_CommitsLast90Days","Git_CommitsLastYear","Git_LinesAddedLast90Days","Git_LinesAddedLastYear","Git_LinesRemovedLast90Days","Git_LinesRemovedLastYear","ROI_2018","ROI_2017","ROI_2016","Volatility30d","Volatility90d","Volatility1y","Volatility3y","Sharpe30d","Sharpe90d","Sharpe1y","Sharpe3y","BlockReward","TargetBlockTimeSeconds","OnChainGovernanceStructure","IsTreasuryDecentralized","LaunchStyle","MiningAlgorithm","NextHalvingDate","GenesisBlockDate","Age","EmissionType_Precise","IsSupplyCapped","MaxSupply","Sector","Category","TokenUsage","ConsensusAlgorithm","pkDummy"
"2020-01-14","2020-01-14 23:02:13","Bitcoin",1,8608.98,1,1.2,0,156259030834,12046294699,1.03,18161300,2.47,20089,57.02,2.3,176.14,6.93,0,24.71,0,NA,NA,NA,NA,19.63,19.63,19.63,0,"A",895,846,967,835,"AA",100,85,3137934638,1084679044,4891.37,640445,303555,153747.41,0.196,13798783827516,135368,163,41902,3506,417,1885,9689,133071,5990,86484,-72.51,1610.77,89.77,0.44,0.56,0.58,0.73,7.82,0.82,1.79,1.34,12.5,600,"","false","Fair Launch","SHA-256","May 2020","Jan 3rd 2009","11.0yrs","Decreasing Issuance","true",2.1e+07,"Currencies","Payments","Payments","Proof-of-Work","2020-01-14 23"
"2020-01-14","2020-01-14 23:02:13","Ethereum",2,160.81,0.0187,7.98,6.7,17562901831,4982431379,2.39,109283194,4.43,1431.77,88.76,8.9,98.29,14.02,6.61,20.7,-3.22,NA,NA,NA,NA,22.82,22.82,22.82,0,"S",923,963,892,817,"A",81,72,215761184,167672913,834.11,281332,549612,50370.69,0.047,2096246941413112,119742,6528,25250,2010,157,833,27025,744901,889889,1256231,-82.37,9180.7,756.78,0.43,0.46,0.64,1.03,7.37,-0.54,0.73,1.38,2,15,"No On-Chain Governance","false","Crowdsale","Ethash","","Jul 30th 2015","4.5yrs","Fixed Issuance","false",NA,"Smart Contract Platforms","Infrastructure","Payments","Proof-of-Work","2020-01-14 23"
"2020-01-14","2020-01-14 23:02:13","XRP",3,0.229,NA,5.49,4.24,9918845087,585505047,2.88,43299885509,22.97,3.84,94.02,16.7,28.49,9.85,2.72,10.78,-11.18,NA,NA,NA,NA,18.19,18.19,18.19,0,"A",853,882,831,789,"BBB",60,76,49367706,49328998,1436.49,3489,836659,138.42,2.75e-06,NA,NA,NA,3366,481,39,215,4823,34885,2798,403000,-84.14,33752.98,25.8,0.42,0.43,0.57,1.67,5.46,-2.32,-0.39,1.36,NA,4,"","false","Centralized Distribution","","","","6.4yrs","Programmatic burn","true",NA,"Currencies","Payments","Payments","Other","2020-01-14 23"
"2020-01-14","2020-01-14 23:02:14","Bitcoin SV",4,342.66,0.0396,67.9,65.91,6158535630,2733691555,3.21,18068415,2.24,446.54,22.74,1.3,574.47,197.13,177.84,278.99,203.88,NA,NA,NA,NA,247.3,247.3,247.3,0,"",NA,NA,NA,NA,"",NA,NA,93666772,40507792,129.2,46361,510776,691.7,0.000859,268407603328,206007,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,1.69,1.33,NA,8.55,4.02,1.77,NA,12.5,600,"No On-Chain Governance","false","Ledger Fork","SHA-256","Apr 2020","Jan 3rd 2009","1.1yrs","Decreasing Issuance","true",2.1e+07,"Currencies","Payments","Payments","Proof-of-Work","2020-01-14 23"
"2020-01-14","2020-01-14 23:02:14","Bitcoin Cash",5,324.99,0.0377,14.99,13.63,5924484940,1974551527,2.78,18223537,2.24,4329.52,92.52,13.4,340.41,33.12,24.48,63.02,30.71,NA,NA,NA,NA,56.92,56.92,56.92,0,"A",823,771,887,829,"BBB",71,84,437234972,145717223,5745.98,32827,54284,274.59,0.000887,440684733185,18747,146,878,141,338,1324,9685,70856,6929,53258,-93.7,NA,NA,0.78,0.71,0.88,NA,9.84,2.69,1.45,NA,12.5,600,"No On-Chain Governance","false","Ledger Fork","SHA-256","Apr 2020","Jan 3rd 2009","2.5yrs","Decreasing Issuance","true",2.1e+07,"Currencies","Payments","Payments","Proof-of-Work","2020-01-14 23"
"2020-01-14","2020-01-14 23:02:14","Tether",6,0.997,0.00012,-0.25,-1.43,4614500870,9206264,NA,4626681489,NA,NA,NA,NA,NA,-0.16,-6.64,-0.37,-20.12,NA,NA,NA,NA,-0.05,-0.05,-0.05,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","Other Burn & Mint models","",NA,"Stablecoins","Payments","Payments","","2020-01-14 23"
