"symbol","model","eval_set","rmse","rsq","date_time_utc","date_utc"
"AVA","pcr","test",2.27500250199735,0.142581038795917,"2021-01-05 15:00:12","2021-01-05"
"AVA","rf","holdout",2.26835741130979,0.332637770130321,"2021-01-05 15:00:12","2021-01-05"
"AVA","rf","test",2.81675162421754,0.220180821649467,"2021-01-05 15:00:12","2021-01-05"
"AVA","xgb","holdout",2.57805190170754,0.169794351553414,"2021-01-05 15:00:12","2021-01-05"
"AVA","xgb","test",4.19830542972125,0.0409857844042677,"2021-01-05 15:00:12","2021-01-05"
"BAT","lm","holdout",0.449915450153447,0.90129527572478,"2021-01-05 15:00:12","2021-01-05"
"BAT","lm","test",0.887779006838713,0.475509768965482,"2021-01-05 15:00:12","2021-01-05"
"BAT","nnet","holdout",1.25646770768139,0.242728572760401,"2021-01-05 15:00:12","2021-01-05"
"BAT","nnet","test",1.73859340443196,0.136611980216458,"2021-01-05 15:00:12","2021-01-05"
"BAT","pcr","holdout",0.922129205718475,0.602201198135617,"2021-01-05 15:00:12","2021-01-05"
"BAT","pcr","test",1.01340499992337,0.318702884443544,"2021-01-05 15:00:12","2021-01-05"
"BAT","rf","holdout",1.64889936432502,0.352169150040672,"2021-01-05 15:00:12","2021-01-05"
"BAT","rf","test",1.45214346790383,0.195016657281824,"2021-01-05 15:00:12","2021-01-05"
"BAT","xgb","holdout",1.71851343118471,0.216038692378855,"2021-01-05 15:00:12","2021-01-05"
"BAT","xgb","test",1.5728443327281,0.0134703959130692,"2021-01-05 15:00:12","2021-01-05"
"BNT","lm","holdout",1.09875152661221,0.813614114752897,"2021-01-05 15:00:12","2021-01-05"
"BNT","lm","test",1.5587604805228,0.692882405529528,"2021-01-05 15:00:12","2021-01-05"
"BNT","nnet","holdout",1.6962750462208,0.202685473861097,"2021-01-05 15:00:12","2021-01-05"
"BNT","nnet","test",4.16346753288443,0.183044887345793,"2021-01-05 15:00:12","2021-01-05"
"BNT","pcr","holdout",1.393753825071,0.407821801211348,"2021-01-05 15:00:12","2021-01-05"
"BNT","pcr","test",2.12881977985854,0.278558028864886,"2021-01-05 15:00:12","2021-01-05"
